ÉÅÉÇÉäâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2019/11/21
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
2019/11/21 14:07:16.000,3200,23.5,0.00,0.00,0.00,0.000,0.000,0.000,-1.00,19
2019/11/21 14:07:23.001,3199,23.5,0.56,-0.84,0.87,0.000,0.000,0.000,0.34,19
2019/11/21 14:07:30.000,773,23.5,-0.94,-1.12,-1.44,0.000,0.000,0.000,1.05,78
2019/11/21 14:07:30.773,294,23.5,-0.94,-1.37,-1.44,0.000,0.000,0.000,1.20,204
2019/11/21 14:07:31.067,934,23.5,-0.94,-1.37,-1.44,0.000,0.000,0.000,1.20,64
2019/11/21 14:07:32.001,389,23.5,-0.56,-0.87,0.84,0.000,0.000,0.000,0.34,154
2019/11/21 14:07:32.390,526,23.5,-0.56,-0.87,0.84,0.000,0.000,0.000,0.34,114
2019/11/21 14:07:32.916,1894,23.5,-0.56,-0.87,0.84,0.000,0.000,0.000,0.34,32
2019/11/21 14:07:34.810,2472,23.5,-0.56,-0.87,0.84,0.000,0.000,0.000,0.34,24
2019/11/21 14:07:37.282,1186,23.5,-0.06,-0.87,0.69,0.000,0.000,0.000,0.11,51
2019/11/21 14:07:38.468,3200,23.5,-0.06,-0.87,0.69,0.000,0.000,0.000,0.11,19
2019/11/21 14:10:01.000,354,24.7,-0.47,-1.09,1.31,0.000,0.000,0.000,0.77,169
2019/11/21 14:10:01.354,2684,24.7,-0.47,-1.09,1.31,0.000,0.000,0.000,0.77,22
2019/11/21 14:10:04.038,1096,24.7,0.91,-1.19,-1.91,0.000,0.000,0.000,1.42,55
2019/11/21 14:10:05.134,3200,24.7,0.91,-1.19,-1.91,0.000,0.000,0.000,1.42,19
2019/11/21 15:03:55.000,3200,21.2,1.19,-2.56,3.78,0.000,0.000,0.000,3.72,19
2019/11/21 15:03:58.200,270,21.2,1.09,-1.41,1.56,0.000,0.000,0.000,1.37,222
2019/11/21 15:03:58.470,1248,21.2,1.09,-1.41,1.56,0.000,0.000,0.000,1.37,48
2019/11/21 15:03:59.718,715,21.2,1.09,-1.41,1.56,0.000,0.000,0.000,1.37,84
2019/11/21 15:04:00.433,384,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,156
2019/11/21 15:04:00.817,577,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,104
2019/11/21 15:04:01.394,295,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,203
2019/11/21 15:04:01.689,1021,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,59
2019/11/21 15:04:02.710,290,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,207
2019/11/21 15:04:03.000,782,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,77
2019/11/21 15:04:03.782,550,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,109
2019/11/21 15:04:04.332,594,21.2,-0.91,-1.06,-0.87,0.000,0.000,0.000,0.65,101
2019/11/21 15:04:04.926,1664,21.2,-1.25,-2.31,1.72,0.000,0.000,0.000,2.14,36
2019/11/21 15:04:06.590,339,21.2,-1.25,-2.31,1.72,0.000,0.000,0.000,2.14,177
2019/11/21 15:04:06.929,1499,21.2,-1.25,-2.31,1.72,0.000,0.000,0.000,2.14,40
2019/11/21 15:04:08.428,3200,21.2,1.03,-2.03,2.12,0.000,0.000,0.000,2.12,19
2019/11/21 15:04:11.628,3200,21.2,1.03,-2.03,2.12,0.000,0.000,0.000,2.12,19
2019/11/21 23:00:20.000,3200,13.4,0.56,-1.47,0.69,0.000,0.000,0.000,0.72,19
2019/11/21 23:00:23.197,3200,13.4,-0.31,0.19,1.28,0.000,0.000,0.000,0.33,19
2019/11/21 23:00:26.393,2735,13.4,-0.22,-0.50,1.03,0.000,0.000,0.000,0.17,22
2019/11/21 23:00:29.125,738,13.4,0.75,-1.06,-1.31,0.000,0.000,0.000,0.85,81
2019/11/21 23:00:29.860,1567,13.4,0.75,-1.06,-1.31,0.000,0.000,0.000,0.85,38
2019/11/21 23:00:31.424,584,13.4,0.75,-1.06,-1.31,0.000,0.000,0.000,0.85,103
2019/11/21 23:00:32.004,962,13.4,0.75,-1.06,-1.31,0.000,0.000,0.000,0.85,62
2019/11/21 23:00:32.963,584,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,103
2019/11/21 23:00:33.544,1148,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,52
2019/11/21 23:00:34.689,340,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,176
2019/11/21 23:00:35.025,350,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,171
2019/11/21 23:00:35.372,1446,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,41
2019/11/21 23:00:36.815,933,13.4,1.97,-1.22,-1.94,0.000,0.000,0.000,2.02,64
2019/11/21 23:00:37.745,498,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,120
2019/11/21 23:00:38.239,377,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,159
2019/11/21 23:00:38.613,414,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,145
2019/11/21 23:00:39.024,394,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,152
2019/11/21 23:00:39.415,548,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,109
2019/11/21 23:00:39.959,3200,13.4,2.16,-1.87,-1.31,0.000,0.000,0.000,2.14,19
2019/11/21 23:00:43.156,3089,13.4,0.81,-1.16,1.03,0.000,0.000,0.000,0.75,19
