Epoch,Time,Score,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,Sigma_Power,Delta_Ratio,Theta_Ratio,Alpha_Ratio,Beta_Ratio,Gamma_Ratio,Sigma_Ratio,date.time,meanRR,SDRR
2,23:24:39,W,221.7934,45.63936,16.55838,14.37992,2.335941,30.9383,0.696491,0.143762,0.077442,0.070023,0.012282,0.147465,2019-11-21 23:24:39,609.961920956957,0.187965485582952
3,23:25:09,W,86.9621,16.86856,7.722104,16.86927,4.583063,24.59137,0.55114,0.118032,0.071041,0.1991,0.060688,0.270141,2019-11-21 23:25:09,610.607693300677,0.18796548558295
4,23:25:39,W,76.48396,9.858727,8.972387,15.66692,3.869377,24.63931,0.519626,0.101796,0.104787,0.21169,0.062101,0.316477,2019-11-21 23:25:39,611.253465644397,0.187965485582954
5,23:26:09,W,121.014,20.68618,6.781213,10.58674,3.109166,17.36795,0.522105,0.128553,0.087503,0.206295,0.055545,0.293798,2019-11-21 23:26:09,611.899237988117,0.187965485582953
6,23:26:39,W,86.50523,22.55547,7.141514,12.34728,2.76955,19.4888,0.533346,0.156921,0.082697,0.185863,0.041174,0.26856,2019-11-21 23:26:39,612.545010331836,0.187965485582955
7,23:27:09,W,208.4527,40.78166,12.64263,10.38732,1.691578,23.02995,0.691047,0.181296,0.051152,0.0647,0.011805,0.115852,2019-11-21 23:27:09,613.190782675556,0.187965485582959
8,23:27:39,W,44.02787,5.735379,3.126853,4.893647,1.207339,8.0205,0.578531,0.112258,0.089352,0.169728,0.050131,0.25908,2019-11-21 23:27:39,613.836555019276,0.187965485582955
9,23:28:09,W,116.7284,13.90944,4.646316,6.938411,1.300406,11.58473,0.712832,0.132854,0.049589,0.08651,0.018215,0.1361,2019-11-21 23:28:09,614.482327362996,0.187965485582955
10,23:28:39,W,99.20966,21.82023,4.926692,6.462934,1.2137,11.38963,0.644143,0.161222,0.057312,0.112717,0.024607,0.170029,2019-11-21 23:28:39,615.991229284697,1.0133293220356
11,23:29:09,W,144.3407,57.67805,12.54878,10.92024,2.165919,23.46902,0.670378,0.190873,0.054567,0.067474,0.016708,0.122041,2019-11-21 23:29:09,473.030421736292,52.5919430213107
12,23:29:39,W,137.0623,29.20069,22.02579,26.33782,12.97731,48.3636,0.531006,0.12722,0.105635,0.15309,0.083049,0.258724,2019-11-21 23:29:39,422.087930021563,42.7794216647695
13,23:30:09,W,72.20676,26.11328,17.11506,16.39928,3.756512,33.51435,0.505838,0.193893,0.145786,0.127182,0.027301,0.272969,2019-11-21 23:30:09,469.934356430659,35.6031785347032
14,23:30:39,W,134.586,39.16133,8.71316,10.04645,2.419948,18.75961,0.659814,0.183975,0.061778,0.074599,0.019834,0.136378,2019-11-21 23:30:39,489.097638367477,66.6020717062083
15,23:31:09,W,101.3531,26.36905,9.406118,12.30664,2.311611,21.71276,0.632088,0.149564,0.070616,0.118588,0.029144,0.189204,2019-11-21 23:31:09,419.969493709734,23.8936567111766
16,23:31:39,W,140.1085,41.01819,8.422382,9.398191,1.618611,17.82057,0.719643,0.154127,0.039647,0.07015,0.016434,0.109796,2019-11-21 23:31:39,550.224372881791,82.5970066735139
17,23:32:09,W,111.6567,21.127,9.637842,10.95222,2.144651,20.59006,0.619688,0.143447,0.092333,0.122391,0.022142,0.214723,2019-11-21 23:32:09,673.958202200507,36.4671424627471
18,23:32:39,W,133.1915,26.11499,10.2557,16.7274,2.987096,26.9831,0.644545,0.146976,0.067945,0.117138,0.023395,0.185083,2019-11-21 23:32:39,496.812105503663,23.7551103089237
19,23:33:09,W,105.8471,26.77676,7.844968,9.847305,1.67929,17.69227,0.658987,0.154629,0.067835,0.100412,0.018138,0.168247,2019-11-21 23:33:09,482.33170774764,56.8338834250557
